GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
library,com.astandro.library.service.impl,AuditServiceImpl,0,45,0,0,0,14,0,2,0,2
library,com.astandro.library.service.impl,AuthServiceImpl,30,170,5,13,2,36,7,7,3,2
library,com.astandro.library.service.impl,ArticleServiceImpl,0,101,1,3,0,21,1,11,0,10
library,com.astandro.library.service.impl,UserServiceImpl,0,26,0,0,0,8,0,5,0,5
library,com.astandro.library.service.impl,LoginAttemptServiceImpl,0,60,1,5,0,15,1,7,0,5
library,com.astandro.library.service.impl,MfaServiceImpl,6,80,3,3,0,20,2,5,0,4
library,com.astandro.library.repository.entity,Article,11,37,0,0,5,15,2,11,2,11
library,com.astandro.library.repository.entity,AuditLog,0,3,0,0,0,1,0,1,0,1
library,com.astandro.library.repository.entity,User,11,94,0,0,5,33,2,19,2,19
library,com.astandro.library.repository.entity,RoleName,0,27,0,0,0,5,0,1,0,1
library,com.astandro.library.util,LoggingUtil,26,7,0,0,2,2,1,2,1,2
library,com.astandro.library.config,RepositoryTestConfig,0,3,0,0,0,1,0,1,0,1
library,com.astandro.library.config,CacheConfig,0,3,0,0,0,1,0,1,0,1
library,com.astandro.library.config,SecurityConfig,0,44,0,0,0,15,0,3,0,3
library,com.astandro.library.config,JwtTokenUtil,1,74,2,2,0,17,2,8,0,8
library,com.astandro.library.config,SwaggerConfig,0,3,0,0,0,1,0,1,0,1
library,com.astandro.library.config,RoleSeeder,31,10,3,1,5,3,2,2,0,2
library,com.astandro.library.config,SecurityConfig.MethodSecurityConfig,0,6,0,0,0,1,0,1,0,1
library,com.astandro.library,LibraryApplication,5,3,0,0,2,1,1,1,1,1
library,com.astandro.library.filter,JwtAuthenticationFilter,102,9,20,0,20,4,12,1,2,1
library,com.astandro.library.aspect,AuditLogAspect,7,84,5,5,4,23,6,3,1,3
library,com.astandro.library.dto,UserRegistration,0,31,0,0,0,13,0,9,0,9
library,com.astandro.library.dto,LoginRequest,0,24,0,0,0,10,0,7,0,7
library,com.astandro.library.controller,UserController,0,52,0,0,0,12,0,5,0,5
library,com.astandro.library.controller,ArticleController,0,55,0,0,0,13,0,6,0,6
library,com.astandro.library.controller,AuthController,15,91,3,3,3,24,3,6,0,6
